election_term,state,seat_code,seat_name,total_votes_cast,voter_turnout_percentage,majority,total_registered_voters,absent_voters
ge12,Pulau Pinang,P.045,Bukit Mertajam,50823,0.793,25897,64081,13258
ge12,Pulau Pinang,P.046,Batu Kawan,37292,0.787,9485,47378,10086
ge12,Pulau Pinang,P.047,Nibong Tebal,38129,0.802,3087,47542,9413
ge12,Pulau Pinang,P.048,Bukit Bendera,47105,0.73,16112,64545,17440
ge12,Pulau Pinang,P.049,Tanjong,38734,0.728,18489,53191,14457
ge12,Pulau Pinang,P.050,Jelutong,46406,0.758,16246,61181,14775
ge12,Pulau Pinang,P.051,Bukit Gelugor,50553,0.77,21015,65610,15057
ge12,Pulau Pinang,P.052,Bayan Baru,46418,0.765,11029,60716,14298
ge12,Pulau Pinang,P.053,Balik Pulau,31391,0.789,708,39765,8374
ge12,Perak,P.054,Gerik,20493,0.781,5573,26229,5736
ge12,Perak,P.055,Lenggong,17436,0.751,4919,23223,5787
ge12,Perak,P.056,Larut,30589,0.771,1911,39695,9106
ge12,Perak,P.057,Parit Buntar,35592,0.787,7551,45219,9627
ge12,Perak,P.058,Bagan Serai,36237,0.769,3413,47109,10872
ge12,Perak,P.059,Bukit Gantang,40301,0.726,1566,55472,15171
ge12,Perak,P.060,Taiping,47123,0.715,11298,65887,18764
ge12,Perak,P.061,Padang Rengas,18350,0.752,1749,24398,6048
ge12,Perak,P.062,Sungai Siput,33154,0.699,1821,47423,14269
ge12,Perak,P.063,Tambun,51844,0.752,5386,68969,17125
ge12,Perak,P.064,Ipoh Timor,53994,0.704,21942,76641,22647
ge12,Perak,P.065,Ipoh Barat,50641,0.726,15534,69772,19131
ge12,Perak,P.066,Batu Gajah,56270,0.728,24627,77315,21045
ge12,Perak,P.067,Kuala Kangsar,20773,0.733,1458,28324,7551
ge12,Perak,P.068,Beruas,30821,0.712,1828,43275,12454
ge12,Perak,P.069,Parit,22598,0.783,2873,28860,6262
ge12,Perak,P.070,Kampar,38953,0.652,2697,59780,20827
ge12,Perak,P.071,Gopeng,53303,0.717,7368,74341,21038
ge12,Perak,P.072,Tapah,26811,0.701,3020,38235,11424
ge12,Perak,P.073,Pasir Salak,32119,0.752,2688,42711,10592
ge12,Perak,P.074,Lumut,55930,0.769,298,72759,16829
ge12,Perak,P.075,Bagan Datuk,24414,0.704,2692,34669,10255
ge12,Perak,P.076,Teluk Intan,36739,0.702,1470,52357,15618
ge12,Perak,P.077,Tanjong Malim,38107,0.712,5422,53483,15376
ge12,Pahang,P.078,Cameron Highlands,16456,0.701,3117,23461,7005
ge12,Pahang,P.079,Lipis,21758,0.766,4137,28423,6665
ge12,Pahang,P.080,Raub,34459,0.742,2752,46453,11994
ge12,Pahang,P.081,Jerantut,38078,0.78,1946,48811,10733
ge12,Pahang,P.082,Indera Mahkota,39677,0.774,1027,51235,11558
ge12,Pahang,P.083,Kuantan,35772,0.749,1826,47746,11974
ge12,Pahang,P.084,Paya Besar,30888,0.775,8503,39881,8993
ge12,Pahang,P.085,Pekan,47870,0.822,26464,58214,10344
ge12,Pahang,P.086,Maran,25672,0.79,6641,32516,6844
ge12,Pahang,P.087,Kuala Krau,27594,0.808,5265,34138,6544
ge12,Pahang,P.088,Temerloh,41463,0.768,2441,54009,12546
ge12,Pahang,P.089,Bentong,39168,0.73,12549,53647,14479
ge12,Pahang,P.090,Bera,33123,0.77,4313,42994,9871
ge12,Pahang,P.091,Rompin,32930,0.79,10679,41699,8769
ge12,Selangor,P.092,Sabak Bernam,23581,0.751,1335,31382,7801
ge12,Selangor,P.093,Sungai Besar,27927,0.82,5009,34073,6146
ge12,Selangor,P.094,Hulu Selangor,47845,0.752,198,63589,15744
ge12,Selangor,P.095,Tanjong Karang,29052,0.798,3820,36392,7340
ge12,Selangor,P.096,Kuala Selangor,37671,0.798,862,47200,9529
ge12,Selangor,P.097,Selayang,60920,0.766,3567,79561,18641
ge12,Selangor,P.098,Gombak,75619,0.763,6867,99159,23540
ge12,Selangor,P.099,Ampang,51097,0.739,3676,69134,18037
ge12,Selangor,P.100,Pandan,48309,0.749,2961,64497,16188
ge12,Selangor,P.101,Hulu Langat,72322,0.801,1745,90323,18001
ge12,Selangor,P.102,Bangi,76236,0.804,21025,94879,18643
ge12,Selangor,P.103,Puchong,59317,0.784,12593,75620,16303
ge12,Selangor,P.104,Subang,58625,0.736,5031,79642,21017
ge12,Selangor,P.105,Petaling Jaya,52631,0.719,5706,73190,20559
ge12,Selangor,P.106,Damansara,56295,0.735,19972,76623,20328
ge12,Selangor,P.107,Sungai Buloh,65861,0.78,6709,84415,18554
ge12,Selangor,P.108,Shah Alam,58361,0.775,9314,75333,16972
ge12,Selangor,P.109,Kapar,87286,0.778,12297,112221,24935
ge12,Selangor,P.110,Klang,59323,0.762,17701,77821,18498
ge12,Selangor,P.111,Kota Raja,57323,0.798,20751,71878,14555
ge12,Selangor,P.112,Kuala Langat,53935,0.811,989,66512,12577
ge12,Selangor,P.113,Sepang,49137,0.792,4849,62041,12904
ge12,W.P. Kuala Lumpur,P.114,Kepong,47508,0.782,23848,60775,13267
ge12,W.P. Kuala Lumpur,P.115,Batu,51303,0.727,9455,70548,19245
ge12,W.P. Kuala Lumpur,P.116,Wangsa Maju,39798,0.73,150,54510,14712
ge12,W.P. Kuala Lumpur,P.117,Segambut,43531,0.729,7732,59688,16157
ge12,W.P. Kuala Lumpur,P.118,Setiawangsa,45096,0.789,8134,57163,12067
ge12,W.P. Kuala Lumpur,P.119,Titiwangsa,33933,0.68,1972,49894,15961
ge12,W.P. Kuala Lumpur,P.120,Bukit Bintang,40441,0.674,14277,59983,19542
ge12,W.P. Kuala Lumpur,P.121,Lembah Pantai,41289,0.729,2895,56653,15364
ge12,W.P. Kuala Lumpur,P.122,Seputeh,58207,0.757,36492,76891,18684
ge12,W.P. Kuala Lumpur,P.123,Cheras,50571,0.736,28300,68729,18158
ge12,W.P. Kuala Lumpur,P.124,Bandar Tun Razak,54995,0.757,2515,72629,17634
ge12,W.P. Putrajaya,P.125,Putrajaya,5416,0.82,2734,6608,1192
ge12,Negeri Sembilan,P.126,Jelebu,29029,0.75,11610,38679,9650
ge12,Negeri Sembilan,P.127,Jempol,39322,0.735,12320,53477,14155
ge12,Negeri Sembilan,P.128,Seremban,64437,0.761,3948,84674,20237
ge12,Negeri Sembilan,P.129,Kuala Pilah,31734,0.75,10008,42328,10594
ge12,Negeri Sembilan,P.130,Rasah,56654,0.786,13151,72115,15461
ge12,Negeri Sembilan,P.131,Rembau,48901,0.778,5746,62895,13994
ge12,Negeri Sembilan,P.132,Port Dickson,46613,0.775,2804,60184,13571
ge12,Negeri Sembilan,P.133,Tampin,36331,0.762,13079,47653,11322
ge12,Melaka,P.134,Masjid Tanah,31715,0.781,12285,40608,8893
ge12,Melaka,P.135,Alor Gajah,41854,0.774,12884,54095,12241
ge12,Melaka,P.136,Tangga Batu,49675,0.825,14500,60190,10515
ge12,Melaka,P.137,Hang Tuah Jaya,62073,0.819,1758,75772,13699
ge12,Melaka,P.138,Kota Melaka,67479,0.796,11390,84804,17325
ge12,Melaka,P.139,Jasin,44654,0.796,12728,56119,11465
ge12,Johor,P.140,Segamat,29699,0.73,2991,40705,11006
ge12,Johor,P.141,Sekijang,26716,0.76,9867,35138,8422
ge12,Johor,P.142,Labis,24080,0.72,4094,33467,9387
ge12,Johor,P.143,Pagoh,30313,0.757,12581,40043,9730
ge12,Johor,P.144,Ledang,44556,0.762,7617,58503,13947
ge12,Johor,P.145,Bakri,43168,0.766,722,56391,13223
ge12,Johor,P.146,Muar,30275,0.738,4661,41017,10742
ge12,Johor,P.147,Parit Sulong,39637,0.789,13599,50237,10600
ge12,Johor,P.148,Ayer Hitam,27488,0.79,13909,34803,7315
ge12,Johor,P.149,Sri Gading,29266,0.794,10874,36845,7579
